"","Country_of_Origin","Releases_from_2000","Releases_from_2001","Releases_from_2002","Releases_from_2003","Releases_from_2004","Releases_from_2005","Releases_from_2006","Releases_from_2007","Releases_from_2008","Releases_from_2009","Releases_from_2010","Releases_from_2011","Releases_from_2012","Releases_from_2013","Releases_from_2014","Releases_from_2015","Releases_from_2016","Releases_from_2017","Releases_from_2018","Releases_from_2019","Releases_from_2020","Releases_from_2021","GDP_growth_2000","GDP_growth_2001","GDP_growth_2002","GDP_growth_2003","GDP_growth_2004","GDP_growth_2005","GDP_growth_2006","GDP_growth_2007","GDP_growth_2008","GDP_growth_2009","GDP_growth_2010","GDP_growth_2011","GDP_growth_2012","GDP_growth_2013","GDP_growth_2014","GDP_growth_2015","GDP_growth_2016","GDP_growth_2017","GDP_growth_2018","GDP_growth_2019","GDP_growth_2020","GDP_growth_2021","GDP_growth_2022"
"1","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.92,-6.69,18.15,2.72,-1.32,8.54,2.18,12.86,2.73,18.08,11.86,-1.72,10.3,3.26,0.42,-0.86,-0.09,0.29,-0.52,0.51,-4.63,-19.91,-16.07
"2","Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.93,9.34,5.55,6.51,6.34,6.27,6.56,6.48,7.77,3.4,3.55,2.28,1.14,0.72,1.48,1.91,3,3.48,3.76,1.93,-3.38,8.36,2.77
"3","Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.33,1.54,4.1,5.69,2.77,4.4,0.17,1.63,0.57,-0.27,1.64,0.92,1.43,0.86,1.86,1.79,1.35,-0.44,-0.27,-0.79,-6.57,2.12,3.49
"4","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.03,1.14,9.89,-0.93,6.47,10.66,7.54,9.86,7.09,-2.88,0.98,-0.31,4.5,1.04,1,-2.68,-6.02,-3.62,-5.38,-4.25,-8.79,-2.7,-0.38
"5","Argentina",0,0,0,0,2,0,3,1,0,0,0,0,0,1,1,7,11,14,17,13,14,3,-1.88,-5.43,-11.81,7.71,7.87,7.69,6.98,8,3.04,-6.87,9.02,4.9,-2.02,1.4,-3.47,1.75,-3,1.73,-3.36,-3.02,-10.67,9.34,0.19
"6","Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.04,9.62,13.32,14.27,10.58,14,13.31,13.79,6.97,-14.04,2.28,4.78,7.29,3.4,3.72,3.34,0.37,7.71,5.44,7.88,-7.13,6.05,2.15
"7","Australia",0,1,0,3,0,3,1,3,2,4,8,1,3,4,4,17,18,20,20,16,13,10,2.7,0.64,2.71,1.77,2.85,1.98,1.46,2.17,1.54,-0.13,0.37,0.88,2.17,0.87,1.01,0.78,1.22,0.73,1.37,0.41,-3.54,3.3,2.21
"8","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,1,3,0,3.13,0.92,1.2,0.48,2.14,1.61,2.99,3.39,1.13,-4.01,1.6,2.59,0.23,-0.55,0.04,0.43,1.54,1.98,1.97,1.21,-7.16,4.28,3.06
"9","Azerbaijan",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.12,9.01,8.61,9.38,8.32,26.69,33.05,24.13,9.43,8.23,3.72,-2.57,1.17,4.78,1.78,0.07,-3.97,-0.74,0.64,1.39,-4.93,4.83,4.02
"10","Bahamas",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,1.51,1.67,-2.2,-0.05,2.47,1.63,0.54,-3.21,-5.06,0.6,-0.31,2.15,-3.82,-0.14,-0.26,-0.39,-0.83,0.66,0.9,-24.48,12.74,6.53
